tollgate_id,direction,time,volume
1,0,2016-09-19 06:00:00,8.0
1,0,2016-09-19 06:20:00,13.0
1,0,2016-09-19 06:40:00,32.0
1,0,2016-09-19 07:00:00,39.0
1,0,2016-09-19 07:20:00,31.0
1,0,2016-09-19 07:40:00,43.0
1,0,2016-09-19 08:00:00,46.0
1,0,2016-09-19 08:20:00,56.0
1,0,2016-09-19 08:40:00,41.0
1,0,2016-09-19 09:00:00,50.0
1,0,2016-09-19 09:20:00,49.0
1,0,2016-09-19 09:40:00,44.0
1,0,2016-09-19 15:00:00,48.0
1,0,2016-09-19 15:20:00,57.0
1,0,2016-09-19 15:40:00,43.0
1,0,2016-09-19 16:00:00,42.0
1,0,2016-09-19 16:20:00,46.0
1,0,2016-09-19 16:40:00,55.0
1,0,2016-09-19 17:00:00,36.0
1,0,2016-09-19 17:20:00,34.0
1,0,2016-09-19 17:40:00,24.0
1,0,2016-09-19 18:00:00,29.0
1,0,2016-09-19 18:20:00,27.0
1,0,2016-09-19 18:40:00,18.0
1,1,2016-09-19 06:00:00,39.0
1,1,2016-09-19 06:20:00,57.0
1,1,2016-09-19 06:40:00,72.0
1,1,2016-09-19 07:00:00,70.0
1,1,2016-09-19 07:20:00,83.0
1,1,2016-09-19 07:40:00,118.0
1,1,2016-09-19 08:00:00,123.0
1,1,2016-09-19 08:20:00,119.0
1,1,2016-09-19 08:40:00,116.0
1,1,2016-09-19 09:00:00,120.0
1,1,2016-09-19 09:20:00,151.0
1,1,2016-09-19 09:40:00,131.0
1,1,2016-09-19 15:00:00,77.0
1,1,2016-09-19 15:20:00,104.0
1,1,2016-09-19 15:40:00,92.0
1,1,2016-09-19 16:00:00,110.0
1,1,2016-09-19 16:20:00,122.0
1,1,2016-09-19 16:40:00,116.0
1,1,2016-09-19 17:00:00,96.0
1,1,2016-09-19 17:20:00,116.0
1,1,2016-09-19 17:40:00,112.0
1,1,2016-09-19 18:00:00,67.0
1,1,2016-09-19 18:20:00,94.0
1,1,2016-09-19 18:40:00,65.0
2,0,2016-09-19 06:00:00,30.0
2,0,2016-09-19 06:20:00,36.0
2,0,2016-09-19 06:40:00,37.0
2,0,2016-09-19 07:00:00,84.0
2,0,2016-09-19 07:20:00,80.0
2,0,2016-09-19 07:40:00,97.0
2,0,2016-09-19 08:00:00,129.0
2,0,2016-09-19 08:20:00,122.0
2,0,2016-09-19 08:40:00,98.0
2,0,2016-09-19 09:00:00,89.0
2,0,2016-09-19 09:20:00,78.0
2,0,2016-09-19 09:40:00,59.0
2,0,2016-09-19 15:00:00,77.0
2,0,2016-09-19 15:20:00,67.0
2,0,2016-09-19 15:40:00,74.0
2,0,2016-09-19 16:00:00,76.0
2,0,2016-09-19 16:20:00,86.0
2,0,2016-09-19 16:40:00,99.0
2,0,2016-09-19 17:00:00,85.0
2,0,2016-09-19 17:20:00,72.0
2,0,2016-09-19 17:40:00,53.0
2,0,2016-09-19 18:00:00,55.0
2,0,2016-09-19 18:20:00,50.0
2,0,2016-09-19 18:40:00,49.0
3,0,2016-09-19 06:00:00,39.0
3,0,2016-09-19 06:20:00,58.0
3,0,2016-09-19 06:40:00,71.0
3,0,2016-09-19 07:00:00,127.0
3,0,2016-09-19 07:20:00,123.0
3,0,2016-09-19 07:40:00,153.0
3,0,2016-09-19 08:00:00,161.0
3,0,2016-09-19 08:20:00,167.0
3,0,2016-09-19 08:40:00,138.0
3,0,2016-09-19 09:00:00,174.0
3,0,2016-09-19 09:20:00,144.0
3,0,2016-09-19 09:40:00,148.0
3,0,2016-09-19 15:00:00,117.0
