tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.1442920113
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,53.9935068664
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.8990592471
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.9592905101
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,53.9258263555
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,50.2436242337
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,44.0903923829
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,40.8154621585
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,30.2100941703
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27.3846254548
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,25.4444688815
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,19.9897987266
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,44.3252231242
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,54.1260373586
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,52.6750819334
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,48.4499987787
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,52.0397300456
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.0745053857
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,44.3641549434
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,35.7539045673
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,26.2095111345
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,26.6744931907
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,25.7051976933
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,22.1184477294
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.3757540653
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,54.0296312293
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,54.6109239176
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,48.2057539604
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,52.680658717
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,51.8484997729
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,44.75976421
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,37.723951707
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,27.4415174472
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,27.3611377782
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,25.7545656821
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,22.0547121547
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,46.0022760715
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,53.7704657034
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,53.9958543776
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,49.152568158
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,51.7498203949
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,52.4103588401
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,51.5668150108
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,48.4806545205
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,33.3078984207
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,32.6967440287
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,28.0666486461
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,25.5232417199
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,39.7626842205
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,50.6710956725
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,50.8218854961
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,46.9324381573
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,49.6124068446
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,50.7901333586
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,47.8029532336
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,43.9017289611
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,30.2697122401
